                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0788,                 1.1224,                 1.4411,                0.88763,                0.74884,                0.88702,                0.59216,                 1.4171,                 1.1744,                 1.6927,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.0496,                  1.074,                 1.4049,                0.86361,                0.77318,                0.89741,                0.57044,                  1.358,                 1.0912,                 1.6599,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.0298,                 1.0698,                 1.4058,                0.85467,                0.80989,                0.91786,                0.57957,                 1.2504,                 1.0449,                 1.5795,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.0296,                 1.0681,                 1.4188,                0.90679,                0.82989,                  0.921,                0.58875,                 1.1963,                 1.0181,                 1.5294,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.0348,                 1.0589,                 1.4414,                0.91999,                0.77318,                0.88385,                0.58689,                 1.2175,                  1.074,                 1.5818,             0.00044576,             0.00044576,             0.00044576
                     39,                  1.029,                 1.0534,                 1.3901,                0.84544,                0.79084,                0.88476,                0.56278,                 1.2337,                  1.086,                 1.5876,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.0177,                 1.0119,                 1.3964,                0.98356,                0.79966,                0.91314,                0.58066,                 1.2137,                 1.0296,                 1.5674,             0.00037974,             0.00037974,             0.00037974
                     41,                0.92943,                 1.1759,                 1.4168,                0.97611,                0.74374,                0.88934,                0.56166,                 1.2556,                 1.0716,                 1.5743,             0.00034674,             0.00034674,             0.00034674
                     42,                0.89603,                 1.0183,                 1.3729,                0.94059,                0.73314,                0.87509,                0.55907,                 1.2959,                  1.232,                 1.5881,             0.00031373,             0.00031373,             0.00031373
                     43,                0.92187,                 1.0988,                 1.4036,                0.92629,                0.75389,                0.89124,                0.58856,                 1.2813,                  1.187,                 1.5788,             0.00028072,             0.00028072,             0.00028072
                     44,                0.88237,                0.98138,                 1.3678,                0.82492,                0.87635,                0.91644,                 0.6412,                 1.1453,                 1.0003,                  1.468,             0.00024772,             0.00024772,             0.00024772
                     45,                0.85692,                0.93454,                  1.359,                0.83529,                0.84208,                0.91018,                0.65043,                 1.1312,                 0.9687,                 1.4755,             0.00021471,             0.00021471,             0.00021471
                     46,                0.84457,                0.91495,                 1.3274,                0.95514,                0.74937,                0.92418,                0.65798,                 1.1289,                0.94626,                  1.481,              0.0001817,              0.0001817,              0.0001817
                     47,                 0.8438,                0.86275,                 1.2812,                0.93148,                0.80711,                0.93259,                0.67736,                 1.1353,                0.96456,                 1.4932,              0.0001487,              0.0001487,              0.0001487
                     48,                0.82888,                0.89944,                 1.3212,                0.88397,                0.83647,                0.94034,                 0.6783,                  1.111,                0.97261,                 1.4766,             0.00011569,             0.00011569,             0.00011569
                     49,                0.82925,                0.89739,                 1.2956,                0.89669,                0.86028,                0.93968,                0.67981,                 1.1011,                0.96688,                 1.4717,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.81392,                 0.8836,                 1.2972,                0.94089,                0.79677,                0.94141,                0.67991,                 1.0904,                0.94915,                 1.4486,             4.9677e-05,             4.9677e-05,             4.9677e-05
